Feature,Importance
src_bytes,0.190580947093505
dst_bytes,0.11256036299887981
flag,0.0845487031600659
same_srv_rate,0.06646289026943811
dst_host_srv_count,0.059394525872102255
dst_host_same_srv_rate,0.05644602056430707
logged_in,0.05007506367679432
diff_srv_rate,0.04684638184800723
dst_host_diff_srv_rate,0.0351558592638287
protocol_type,0.03462790106291115
count,0.03353422302571715
dst_host_same_src_port_rate,0.03000916606359361
service,0.02798948083479559
dst_host_srv_diff_host_rate,0.02206936880952354
srv_serror_rate,0.01911278790264076
srv_count,0.0163646578580069
dst_host_count,0.01607248174073779
serror_rate,0.015023205297331395
dst_host_srv_serror_rate,0.01297522984661683
dst_host_serror_rate,0.01271778469233592
dst_host_rerror_rate,0.010820275608440021
hot,0.010126559191183764
dst_host_srv_rerror_rate,0.007518986355061531
num_compromised,0.006468262262061329
srv_rerror_rate,0.005523370148166283
rerror_rate,0.004629430314741515
wrong_fragment,0.00400473991115378
duration,0.003608583359322059
srv_diff_host_rate,0.002753468478577197
is_guest_login,0.0010244161267934876
num_root,0.00028066056283395594
num_failed_logins,0.00021565167921005146
num_file_creations,0.00016417110576928437
root_shell,9.933119958704289e-05
num_shells,5.8902039434699876e-05
num_access_files,5.820686695391508e-05
urgent,2.8267963259928597e-05
land,2.6798823975052864e-05
su_attempted,2.2834740915108256e-05
is_host_login,4.138142088881126e-08
num_outbound_cmds,0.0
